DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
0,13,0,13,32,125,2.533333333
0,13,1,16,53,213,5.883333333
0,13,2,16,55,673,5.916666667
0,13,3,16,57,89,5.95
0,13,4,16,59,121,5.983333333
0,13,5,17,1,123,6.016666667
0,13,6,17,3,123,6.05
0,13,7,17,5,331,6.083333333
0,13,8,17,7,183,6.116666667
0,16,0,13,30,1058,2.5
0,16,1,17,12,266,6.2
0,16,2,17,14,896,6.233333333
0,16,3,17,16,213,6.266666667
0,16,4,17,18,303,6.3
0,16,5,17,20,307,6.333333333
0,16,6,17,22,89,6.366666667
0,16,7,17,25,504,6.416666667
0,16,8,17,27,214,6.45
0,19,0,13,27,156,2.45
0,19,1,17,32,479,6.533333333
0,19,2,17,34,587,6.566666667
0,19,3,17,36,154,6.6
0,19,4,17,38,337,6.633333333
0,19,5,17,40,92,6.666666667
0,19,6,17,42,61,6.7
0,19,7,17,45,996,6.75
0,19,8,17,47,245,6.783333333
0,22,0,13,25,503,2.416666667
0,22,1,16,12,830,5.2
0,22,2,16,14,749,5.233333333
0,22,3,16,16,401,5.266666667
0,22,4,16,18,620,5.3
0,22,5,16,21,558,5.35
0,22,6,16,23,149,5.383333333
0,22,7,16,25,536,5.416666667
0,22,8,16,27,269,5.45
0,25,0,13,23,313,2.383333333
0,25,1,16,32,180,5.533333333
0,25,2,16,34,574,5.566666667
0,25,3,16,36,455,5.6
0,25,4,16,39,772,5.65
0,25,5,16,41,404,5.683333333
0,25,6,16,43,246,5.716666667
0,25,7,16,45,279,5.75
0,25,8,16,47,309,5.783333333
0,28,0,13,21,1068,2.35
0,28,1,13,34,188,2.566666667
0,28,2,13,36,626,2.6
0,28,3,13,38,314,2.633333333
0,28,4,13,40,912,2.666666667
0,28,5,13,43,187,2.716666667
0,28,6,13,45,503,2.75
0,28,7,13,48,215,2.8
0,28,8,13,51,282,2.85
1,22,0,11,15,2662,24.25
1,22,1,11,22,6792,24.36666667
1,22,2,11,25,3229,24.41666667
1,22,3,11,27,3533,24.45
1,22,4,11,29,5079,24.48333333
1,22,5,11,31,4182,24.51666667
1,22,6,11,33,4021,24.55
1,22,7,11,35,5476,24.58333333
1,22,8,11,38,4627,24.63333333
1,25,0,11,18,4719,24.3
1,25,1,11,46,425,24.76666667
1,25,2,11,48,1213,24.8
1,25,3,11,51,1364,24.85
1,25,4,11,53,4332,24.88333333
1,25,5,11,55,1141,24.91666667
1,25,6,11,57,2415,24.95
1,25,7,12,1,1890,25.01666667
1,25,8,12,3,1892,25.05
1,28,0,11,20,1751,24.33333333
1,28,1,12,13,552,25.21666667
1,28,2,12,15,432,25.25
1,28,3,12,17,1584,25.28333333
1,28,4,12,20,3006,25.33333333
1,28,5,12,22,6425,25.36666667
1,28,6,12,24,1234,25.4
1,28,7,12,27,1451,25.45
1,28,8,12,29,922,25.48333333
1,13,0,11,9,991,24.15
1,13,1,12,45,553,25.75
1,13,2,12,47,551,25.78333333
1,13,3,12,50,746,25.83333333
1,13,4,12,52,758,25.86666667
1,13,5,12,54,147,25.9
1,13,6,12,56,310,25.93333333
1,13,7,12,58,2013,25.96666667
1,13,8,13,0,1121,26
1,16,0,11,11,1014,24.18333333
1,16,1,13,5,306,26.08333333
1,16,2,13,7,673,26.11666667
1,16,3,13,9,184,26.15
1,16,4,13,12,983,26.2
1,16,5,13,14,596,26.23333333
1,16,6,13,16,839,26.26666667
1,16,7,13,19,3361,26.31666667
1,16,8,13,21,1260,26.35
1,19,0,11,13,767,24.21666667
1,19,1,13,26,708,26.43333333
1,19,2,13,28,1406,26.46666667
1,19,3,13,30,805,26.5
1,19,4,13,32,1475,26.53333333
1,19,5,13,34,459,26.56666667
1,19,6,13,37,659,26.61666667
1,19,7,13,39,3270,26.65
1,19,8,13,41,951,26.68333333
1,25,0,16,11,436,29.18333333
1,25,1,16,13,2843,29.21666667
1,25,2,16,15,1997,29.25
1,25,3,16,17,2512,29.28333333
1,25,4,16,19,5575,29.31666667
1,25,5,16,21,879,29.35
1,25,6,16,23,1101,29.38333333
1,25,7,16,25,1427,29.41666667
1,25,8,16,27,3339,29.45
1,28,0,16,9,1188,29.15
1,28,1,16,34,529,29.56666667
1,28,2,16,36,694,29.6
1,28,3,16,38,1305,29.63333333
1,28,4,16,40,4105,29.66666667
1,28,5,16,42,886,29.7
1,28,6,16,44,879,29.73333333
1,28,7,16,46,829,29.76666667
1,28,8,16,49,3684,29.81666667
2,22,0,10,25,995,47.41666667
2,22,1,10,32,3023,47.53333333
2,22,2,10,34,3610,47.56666667
2,22,3,10,36,2381,47.6
2,22,4,10,38,568,47.63333333
2,22,5,10,41,1811,47.68333333
2,22,6,10,43,487,47.71666667
2,22,7,10,45,1767,47.75
2,22,8,10,49,3426,47.81666667
2,25,0,10,28,958,47.46666667
2,25,1,10,56,1332,47.93333333
2,25,2,10,58,1534,47.96666667
2,25,3,11,0,9218,48
2,25,4,11,3,14284,48.05
2,25,5,11,5,4028,48.08333333
2,25,6,11,7,3947,48.11666667
2,25,7,11,9,2447,48.15
2,25,8,11,11,3096,48.18333333
2,28,0,10,30,878,47.5
2,28,1,11,16,1845,48.26666667
2,28,2,11,18,714,48.3
2,28,3,11,20,3859,48.33333333
2,28,4,11,22,12802,48.36666667
2,28,5,11,24,2498,48.4
2,28,6,11,26,2631,48.43333333
2,28,7,11,28,1459,48.46666667
2,28,8,11,30,1187,48.5
2,13,0,10,21,995,47.35
2,13,1,11,43,370,48.71666667
2,13,2,11,45,1058,48.75
2,13,3,11,47,244,48.78333333
2,13,4,11,49,484,48.81666667
2,13,5,11,53,256,48.88333333
2,13,6,11,56,426,48.93333333
2,13,7,11,59,665,48.98333333
2,13,8,12,1,1147,49.01666667
2,16,0,10,21,852,47.35
2,16,1,12,14,1665,49.23333333
2,16,2,12,16,1660,49.26666667
2,16,3,12,18,1611,49.3
2,16,4,12,20,1249,49.33333333
2,16,5,12,22,1311,49.36666667
2,16,6,12,25,672,49.41666667
2,16,7,12,27,4354,49.45
2,16,8,12,29,2255,49.48333333
2,19,0,10,23,802,47.38333333
2,19,1,12,35,1576,49.58333333
2,19,2,12,38,2356,49.63333333
2,19,3,12,40,1273,49.66666667
2,19,4,12,42,874,49.7
2,19,5,12,44,1547,49.73333333
2,19,6,12,47,1028,49.78333333
2,19,7,12,49,5256,49.81666667
2,19,8,12,53,1971,49.88333333
2,22,0,17,1,5922,54.01666667
2,22,1,17,11,2602,54.18333333
2,22,2,17,13,2358,54.21666667
2,22,3,17,15,2665,54.25
2,22,4,17,17,3026,54.28333333
2,22,5,17,19,2011,54.31666667
2,22,6,17,21,818,54.35
2,22,7,17,23,3922,54.38333333
2,22,8,17,25,4985,54.41666667
2,25,0,17,3,680,54.05
2,25,1,17,30,860,54.5
2,25,2,17,33,1141,54.55
2,25,3,17,35,2770,54.58333333
2,25,4,17,37,9349,54.61666667
2,25,5,17,39,8955,54.65
2,25,6,17,41,5039,54.68333333
2,25,7,17,43,6547,54.71666667
2,25,8,17,45,12374,54.75
2,28,0,17,5,1604,54.08333333
2,28,1,17,50,1426,54.83333333
2,28,2,17,52,825,54.86666667
2,28,3,17,54,2415,54.9
2,28,4,17,56,6941,54.93333333
2,28,5,17,58,4563,54.96666667
2,28,6,18,1,9417,55.01666667
2,28,7,18,3,2601,55.05
2,28,8,18,5,8413,55.08333333
3,22,0,11,3,2291,72.05
3,22,1,11,9,3578,72.15
3,22,2,11,11,5616,72.18333333
3,22,3,11,13,8881,72.21666667
3,22,4,11,15,17039,72.25
3,22,5,11,17,5475,72.28333333
3,22,6,11,20,44239,72.33333333
3,22,7,11,22,49262,72.36666667
3,22,8,11,25,27404,72.41666667
3,25,0,11,5,2300,72.08333333
3,25,1,11,31,4748,72.51666667
3,25,2,11,34,918,72.56666667
3,25,3,11,36,8248,72.6
3,25,4,11,38,20687,72.63333333
3,25,5,11,40,4493,72.66666667
3,25,6,11,42,10803,72.7
3,25,7,11,44,6875,72.73333333
3,25,8,11,46,8433,72.76666667
3,28,0,11,7,1857,72.11666667
3,28,1,11,53,5109,72.88333333
3,28,2,11,55,584,72.91666667
3,28,3,11,59,4511,72.98333333
3,28,4,12,2,10970,73.03333333
3,28,5,12,5,10946,73.08333333
3,28,6,12,7,21351,73.11666667
3,28,7,12,10,2840,73.16666667
3,28,8,12,12,6415,73.2
3,13,0,12,27,1478,73.45
3,13,1,12,30,1575,73.5
3,13,2,12,32,1735,73.53333333
3,13,3,12,34,579,73.56666667
3,13,4,12,36,1713,73.6
3,13,5,12,38,1210,73.63333333
3,13,6,12,40,863,73.66666667
3,13,7,12,43,3413,73.71666667
3,13,8,12,45,1683,73.75
3,16,0,12,23,1713,73.38333333
3,16,1,12,55,3753,73.91666667
3,16,2,12,57,3426,73.95
3,16,3,12,59,2346,73.98333333
3,16,4,13,2,3778,74.03333333
3,16,5,13,4,6848,74.06666667
3,16,6,13,6,1346,74.1
3,16,7,13,8,10130,74.13333333
3,16,8,13,10,2717,74.16666667
3,19,0,12,53,2378,73.88333333
3,19,1,13,15,5458,74.25
3,19,2,13,17,16106,74.28333333
3,19,3,13,19,3900,74.31666667
3,19,4,13,21,4130,74.35
3,19,5,13,23,1911,74.38333333
3,19,6,13,25,1719,74.41666667
3,19,7,13,27,13154,74.45
3,19,8,13,35,18232,74.58333333
3,22,0,15,43,4080,76.71666667
3,22,1,15,46,1446,76.76666667
3,22,2,15,48,2513,76.8
3,22,3,15,50,10488,76.83333333
3,22,4,15,52,7767,76.86666667
3,22,5,15,54,8889,76.9
3,22,6,15,56,3962,76.93333333
3,22,7,15,58,11068,76.96666667
3,22,8,16,0,10146,77
3,25,0,15,38,5905,76.63333333
3,25,1,16,8,2098,77.13333333
3,25,2,16,10,5280,77.16666667
3,25,3,16,12,4748,77.2
3,25,4,16,14,8955,77.23333333
3,25,5,16,16,6663,77.26666667
3,25,6,16,18,7861,77.3
3,25,7,16,20,9456,77.33333333
3,25,8,16,22,12138,77.36666667
3,28,0,15,41,786,76.68333333
3,28,1,16,26,1101,77.43333333
3,28,2,16,28,3270,77.46666667
3,28,3,16,30,1221,77.5
3,28,4,16,31,4083,77.51666667
3,28,5,16,35,10185,77.58333333
3,28,6,16,38,5188,77.63333333
3,28,7,16,40,8081,77.66666667
3,28,8,16,42,4403,77.7
4,13,0,10,19,1090,95.31666667
4,13,1,12,5,3679,97.08333333
4,13,2,12,7,2435,97.11666667
4,13,3,12,9,1445,97.15
4,13,4,12,12,2073,97.2
4,13,5,12,44,1112,97.73333333
4,13,6,12,46,1479,97.76666667
4,13,7,12,48,5291,97.8
4,13,8,12,50,2625,97.83333333
4,16,0,10,21,2694,95.35
4,16,1,12,54,3994,97.9
4,16,2,12,56,3977,97.93333333
4,16,3,12,59,4970,97.98333333
4,16,4,13,1,3181,98.01666667
4,16,5,13,3,3398,98.05
4,16,6,13,5,1235,98.08333333
4,16,7,13,7,19886,98.11666667
4,16,8,13,9,6027,98.15
4,19,0,10,23,1327,95.38333333
4,19,1,13,13,4362,98.21666667
4,19,2,13,15,14012,98.25
4,19,3,13,17,5977,98.28333333
4,19,4,13,20,11534,98.33333333
4,19,5,13,22,8616,98.36666667
4,19,6,13,24,5392,98.4
4,19,7,13,26,34610,98.43333333
4,19,8,13,28,18249,98.46666667
4,22,0,10,25,4709,95.41666667
4,22,1,10,33,7388,95.55
4,22,2,10,35,6316,95.58333333
4,22,3,10,37,15216,95.61666667
4,22,4,10,39,3779,95.65
4,22,5,10,45,12062,95.75
4,22,6,10,47,2540,95.78333333
4,22,7,10,49,17822,95.81666667
4,22,8,10,51,54958,95.85
4,25,0,10,28,2185,95.46666667
4,25,1,11,14,1598,96.23333333
4,25,2,11,16,3438,96.26666667
4,25,3,11,18,6158,96.3
4,25,4,11,21,16003,96.35
4,25,5,11,23,8043,96.38333333
4,25,6,11,26,53630,96.43333333
4,25,7,11,28,11511,96.46666667
4,25,8,11,30,34703,96.5
4,28,0,10,31,2010,95.51666667
4,28,1,11,36,3172,96.6
4,28,2,11,38,2853,96.63333333
4,28,3,11,40,2505,96.66666667
4,28,4,11,42,4869,96.7
4,28,5,11,44,7790,96.73333333
4,28,6,11,46,29061,96.76666667
4,28,7,11,48,53296,96.8
4,28,8,11,50,67878,96.83333333
4,22,0,16,40,6876,101.6666667
4,22,1,16,46,9750,101.7666667
4,22,2,16,49,7761,101.8166667
4,22,3,16,51,20994,101.85
4,22,4,16,53,35336,101.8833333
4,22,5,16,55,17852,101.9166667
4,22,6,16,57,30469,101.95
4,22,7,17,0,100935,102
4,22,8,17,2,86589,102.0333333
4,25,0,16,42,3477,101.7
4,25,1,17,8,7256,102.1333333
4,25,2,17,10,4528,102.1666667
4,25,3,17,12,4946,102.2
4,25,4,17,14,16679,102.2333333
4,25,5,17,17,37271,102.2833333
4,25,6,17,19,17150,102.3166667
4,25,7,17,22,25916,102.3666667
4,25,8,17,24,47870,102.4
4,28,0,16,44,1019,101.7333333
4,28,1,17,36,5157,102.6
4,28,2,17,39,5823,102.65
4,28,3,17,41,4361,102.6833333
4,28,4,17,43,15915,102.7166667
4,28,5,17,45,32904,102.75
4,28,6,17,47,11227,102.7833333
4,28,7,17,49,15084,102.8166667
4,28,8,17,51,5079,102.85
5,13,0,9,22,1689,118.3666667
5,13,1,10,42,3284,119.7
5,13,2,10,44,4776,119.7333333
5,13,3,10,46,5594,119.7666667
5,13,4,10,48,1830,119.8
5,13,5,10,50,978,119.8333333
5,13,6,10,52,1001,119.8666667
5,13,7,10,54,3764,119.9
5,13,8,10,56,2362,119.9333333
5,16,0,9,25,2734,118.4166667
5,16,1,11,1,6339,120.0166667
5,16,2,11,3,8328,120.05
5,16,3,11,5,6544,120.0833333
5,16,4,11,7,11126,120.1166667
5,16,5,11,9,8182,120.15
5,16,6,11,11,3201,120.1833333
5,16,7,11,13,21487,120.2166667
5,16,8,11,15,10219,120.25
5,19,0,9,27,1387,118.45
5,19,1,11,20,7488,120.3333333
5,19,2,11,22,17787,120.3666667
5,19,3,11,24,13627,120.4
5,19,4,11,28,23037,120.4666667
5,19,5,11,30,28855,120.5
5,19,6,11,32,12792,120.5333333
5,19,7,11,34,48618,120.5666667
5,19,8,11,37,63333,120.6166667
5,22,0,9,29,2891,118.4833333
5,22,1,9,35,11509,118.5833333
5,22,2,9,37,8737,118.6166667
5,22,3,9,39,7510,118.65
5,22,4,9,41,13924,118.6833333
5,22,5,9,43,10041,118.7166667
5,22,6,9,46,19329,118.7666667
5,22,7,9,48,56505,118.8
5,22,8,9,50,70524,118.8333333
5,25,0,9,31,2568,118.5166667
5,25,1,9,55,5509,118.9166667
5,25,2,9,57,8468,118.95
5,25,3,9,59,8863,118.9833333
5,25,4,10,2,9289,119.0333333
5,25,5,10,5,21088,119.0833333
5,25,6,10,8,23448,119.1333333
5,25,7,10,10,68525,119.1666667
5,25,8,10,12,115510,119.2
5,28,0,9,33,1443,118.55
5,28,1,10,18,4823,119.3
5,28,2,10,21,15711,119.35
5,28,3,10,23,2240,119.3833333
5,28,4,10,25,13978,119.4166667
5,28,5,10,27,19028,119.45
5,28,6,10,29,28912,119.4833333
5,28,7,10,31,26008,119.5166667
5,28,8,10,38,53906,119.6333333
6,13,0,16,43,1501,149.7166667
6,13,1,16,46,4258,149.7666667
6,13,2,16,48,4658,149.8
6,13,3,16,50,4706,149.8333333
6,13,4,16,52,6971,149.8666667
6,13,5,16,54,4015,149.9
6,13,6,16,56,4057,149.9333333
6,13,7,16,58,7850,149.9666667
6,13,8,17,1,7281,150.0166667
6,16,0,17,5,2667,150.0833333
6,16,1,17,7,2863,150.1166667
6,16,2,17,9,4965,150.15
6,16,3,17,11,9852,150.1833333
6,16,4,17,13,5714,150.2166667
6,16,5,17,15,21477,150.25
6,16,6,17,18,15287,150.3
6,16,7,17,20,25153,150.3333333
6,16,8,17,22,33234,150.3666667
7,13,0,10,30,1462,167.5
7,13,1,10,33,2851,167.55
7,13,2,10,36,16579,167.6
7,13,3,10,38,6616,167.6333333
7,13,4,10,40,10343,167.6666667
7,13,5,10,42,7065,167.7
7,13,6,10,44,6533,167.7333333
7,13,7,10,46,9281,167.7666667
7,13,8,10,51,17002,167.85
7,16,0,10,57,4703,167.95
7,16,1,10,59,7930,167.9833333
7,16,2,11,1,10292,168.0166667
7,16,3,11,4,12378,168.0666667
7,16,4,11,6,10594,168.1
7,16,5,11,8,24145,168.1333333
7,16,6,11,10,13478,168.1666667
7,16,7,11,12,97702,168.2
7,16,8,11,14,52673,168.2333333
